Tˆn;X;Y;X_1;Y_2
CC;304314,600;1356907,600;" 12°16'6.97""B?c";"109°12'3.03""?ông"
CP(G2);304730,630;1356753,300;" 12°16'1.95""B?c";"109°12'16.93""?ông"
CP(G7);304195,030;1356974,460;" 12°16'9.16""B?c";"109°11'59.16""?ông"
HGX(G2);304500,000;1356900,000;;
NGX(G7);304190,000;1356850,000;;
NGX(G7);304280,000;1356890,000;;
NGX(HT3);304166,000;1356932,850;" 12°16'7.76""B?c";"109°11'58.22""?ông"
HT2;304540,000;1356745,000;;
HT3;304171,000;1356947,600;" 12°16'8.22""B?c";"109°11'58.40""?ông"
G1;304930,000;1356935,000;;
G2;304970,000;1356830,000;;
G3;304915,000;1356720,000;;
G4;304612,000;1356612,000;;
G5;304525,000;1356640,000;;
G6;304395,000;1356645,000;;
G7;304320,000;1356685,000;;
G8;304608,000;1356902,000;;
NDN;304305,000;1356655,000;;
NTDDN;304715,000;1356895,000;;
